model number,machine code,Description,Is IDU,Price,AHRI,EER,SEER,HSPF,EER2,SEER2,HSPF2-4,HSPF2-5,Btu@95min,Btu@95rated,Btu@95max,kW@95min,kW@95rated,kW@95max,COP@95min,COP@95rated,COP@95max,Btu@82min,Btu@82rated,Btu@82max,kW@82min,kW@82rated,kW@82max,COP@82min,COP@82rated,COP@82max,Btu@47min,Btu@47rated,Btu@47max,kW@47min,kW@47rated,kW@47max,COP@47min,COP@47rated,COP@47max,Btu@17min,Btu@17rated,Btu@17max,kW@17min,kW@17rated,kW@17max,COP@17min,COP@17rated,COP@17max,Btu@5min,Btu@5rated,Btu@5max,kW@5min,kW@5rated,kW@5max,COP@5min,COP@5rated,COP@5max,Btu@lowest min,Btu@lowest rated,Btu@lowest max,kW@lowest min,kW@lowest rated,kW@lowest max,COP@lowest min,COP@lowest rated,COP@lowest max,lowest temperature
GMV-V36WL/C-T(U),36G,GREE VRF ODU 208-230V 60Hz 36k Btu,0,0,211698448,13.00 ,23.00 ,9.00 ,13.00 ,23.00 ,9.00 ,6.70 ,14400.00 ,36000.00 ,43200.00 ,0.95 ,2.77 ,3.30 ,4.44 ,3.81 ,3.84 ,14400.00 ,-999999.00 ,43200.00 ,0.70 ,-999999.00 ,2.80 ,6.03 ,-999999.00 ,4.52 ,14400.00 ,36000.00 ,38000.00 ,0.90 ,2.40 ,2.60 ,4.69 ,4.40 ,4.28 ,14400.00 ,22000.00 ,36000.00 ,1.35 ,2.58 ,4.50 ,3.13 ,2.50 ,2.34 ,14400.00 ,25200.00 ,34200.00 ,1.70 ,3.08 ,4.50 ,2.48 ,2.40 ,2.23 ,14400.00 ,-999999.00 ,25200.00 ,3.00 ,-999999.00 ,5.20 ,1.41 ,-999999.00 ,1.42 ,-22.00 
GMV-V48WL/C-T(U),48G,GREE VRF ODU 208-230V 60Hz 48k Btu,0,0,211698447,11.50 ,22.00 ,9.20 ,11.50 ,22.00 ,9.20 ,6.80 ,19200.00 ,48000.00 ,57600.00 ,1.30 ,4.17 ,5.00 ,4.33 ,3.37 ,3.38 ,19200.00 ,-999999.00 ,57600.00 ,1.00 ,-999999.00 ,4.30 ,5.63 ,-999999.00 ,3.93 ,19200.00 ,48000.00 ,50000.00 ,1.30 ,3.52 ,3.75 ,4.33 ,4.00 ,3.91 ,19200.00 ,30000.00 ,48000.00 ,1.90 ,3.38 ,6.04 ,2.96 ,2.60 ,2.33 ,19200.00 ,33600.00 ,45600.00 ,2.30 ,4.48 ,6.30 ,2.45 ,2.20 ,2.12 ,19200.00 ,-999999.00 ,32000.00 ,4.00 ,-999999.00 ,6.60 ,1.41 ,-999999.00 ,1.42 ,-22.00 
KM18H5O,18M,KINGHOME MULTIZONE ODU 208-230V 60Hz 18k Btu,0,799.7,211497152,12.00 ,21.00 ,10.00 ,12.00 ,21.00 ,10.00 ,8.00 ,7000.00 ,17000.00 ,19600.00 ,0.45 ,1.41 ,1.94 ,4.56 ,3.53 ,2.96 ,7000.00 ,-999999.00 ,21000.00 ,0.43 ,-999999.00 ,1.84 ,4.77 ,-999999.00 ,3.34 ,7000.00 ,18000.00 ,18100.00 ,0.52 ,1.38 ,1.65 ,3.95 ,3.82 ,3.21 ,7200.00 ,15000.00 ,16400.00 ,0.65 ,1.69 ,1.82 ,3.25 ,2.60 ,2.64 ,7200.00 ,13600.00 ,13600.00 ,0.86 ,1.80 ,1.80 ,2.45 ,2.21 ,2.21 ,7000.00 ,-999999.00 ,10200.00 ,1.32 ,-999999.00 ,1.98 ,1.55 ,-999999.00 ,1.51 ,-22.00 
KM24H5O,24M,KINGHOME MULTIZONE ODU 208-230V 60Hz 24k Btu,0,1175.9,211497153,12.50 ,21.00 ,10.00 ,12.50 ,21.00 ,10.00 ,8.00 ,7500.00 ,23200.00 ,31400.00 ,0.55 ,1.85 ,2.97 ,4.00 ,3.68 ,3.10 ,7000.00 ,-999999.00 ,34100.00 ,0.45 ,-999999.00 ,2.78 ,4.56 ,-999999.00 ,3.59 ,7500.00 ,24000.00 ,28800.00 ,0.56 ,1.80 ,2.62 ,3.93 ,3.91 ,3.22 ,8200.00 ,23600.00 ,26600.00 ,0.75 ,2.97 ,3.12 ,3.20 ,2.33 ,2.50 ,8200.00 ,21600.00 ,21600.00 ,0.96 ,3.01 ,3.01 ,2.50 ,2.10 ,2.10 ,7000.00 ,-999999.00 ,17220.00 ,1.36 ,-999999.00 ,3.20 ,1.51 ,-999999.00 ,1.58 ,-22.00 
KM30H5O,30M,KINGHOME MULTIZONE ODU 208-230V 60Hz 30k Btu,0,1372.8,211497154,12.50 ,21.00 ,10.00 ,12.50 ,21.00 ,10.00 ,8.00 ,8200.00 ,28400.00 ,34100.00 ,0.62 ,2.27 ,3.36 ,3.88 ,3.67 ,2.97 ,7000.00 ,-999999.00 ,36400.00 ,0.52 ,-999999.00 ,3.12 ,3.95 ,-999999.00 ,3.42 ,8200.00 ,30000.00 ,30400.00 ,0.61 ,2.25 ,2.68 ,3.94 ,3.91 ,3.32 ,8800.00 ,27200.00 ,31860.00 ,0.87 ,3.31 ,3.89 ,2.96 ,2.41 ,2.40 ,8800.00 ,22800.00 ,22800.00 ,1.17 ,3.63 ,3.63 ,2.20 ,1.84 ,1.84 ,7000.00 ,-999999.00 ,20020.00 ,1.38 ,-999999.00 ,3.42 ,1.49 ,-999999.00 ,1.72 ,-22.00 
KM36H5O,36M,KINGHOME MULTIZONE ODU 208-230V 60Hz 36k Btu,0,1706.1,211497155,12.00 ,21.00 ,10.00 ,12.00 ,21.00 ,10.00 ,8.00 ,8870.00 ,34000.00 ,36000.00 ,0.67 ,2.83 ,3.86 ,3.88 ,3.52 ,2.73 ,8000.00 ,-999999.00 ,38400.00 ,0.54 ,-999999.00 ,3.36 ,4.34 ,-999999.00 ,3.35 ,8870.00 ,36000.00 ,43200.00 ,0.66 ,2.90 ,4.00 ,3.94 ,3.64 ,3.17 ,9000.00 ,30800.00 ,37720.00 ,0.91 ,4.42 ,4.65 ,2.90 ,2.04 ,2.38 ,9000.00 ,32400.00 ,32400.00 ,1.22 ,5.22 ,5.22 ,2.16 ,1.82 ,1.82 ,8000.00 ,-999999.00 ,24020.00 ,1.51 ,-999999.00 ,4.46 ,1.55 ,-999999.00 ,1.58 ,-22.00 
KU36UHO,36U,KINGHOME UNIVERSAL INVENTER H/P CONDENSING UNIT 36K BTU,0,3414.4,206414277,10.00 ,18.00 ,19.00 ,19.00 ,16.00 ,9.00 ,7.00 ,11000.00 ,34000.00 ,34000.00 ,0.92 ,3.40 ,3.40 ,3.50 ,2.93 ,2.93 ,11300.00 ,-999999.00 ,34400.00 ,0.65 ,-999999.00 ,2.97 ,5.09 ,-999999.00 ,3.39 ,9800.00 ,35000.00 ,35000.00 ,0.70 ,3.31 ,3.31 ,4.10 ,3.10 ,3.10 ,7400.00 ,29000.00 ,35000.00 ,1.08 ,3.70 ,5.25 ,2.01 ,2.30 ,1.95 ,15100.00 ,28000.00 ,28000.00 ,2.17 ,4.55 ,4.55 ,2.04 ,1.80 ,1.80 ,14600.00 ,-999999.00 ,19100.00 ,3.05 ,-999999.00 ,4.58 ,1.40 ,-999999.00 ,1.22 ,-22.00 
KU60UHO,60U,KINGHOME UNIVERSAL INVENTER H/P CONDENSING UNIT 60K BTU,0,4481.4,206414278,10.50 ,17.00 ,10.00 ,10.00 ,16.00 ,9.00 ,7.00 ,15300.00 ,54000.00 ,54000.00 ,1.43 ,5.40 ,5.40 ,3.14 ,2.93 ,2.93 ,19100.00 ,-999999.00 ,56000.00 ,1.13 ,-999999.00 ,4.48 ,4.95 ,-999999.00 ,3.66 ,16000.00 ,54000.00 ,54000.00 ,1.10 ,5.10 ,5.10 ,4.26 ,3.10 ,3.10 ,8200.00 ,44000.00 ,49000.00 ,1.38 ,5.37 ,7.06 ,1.74 ,2.40 ,2.03 ,19000.00 ,41000.00 ,41000.00 ,2.91 ,6.67 ,6.67 ,1.91 ,1.80 ,1.80 ,18600.00 ,-999999.00 ,24300.00 ,4.52 ,-999999.00 ,6.19 ,1.21 ,-999999.00 ,-1.15 ,-22.00 
KW09HQ19SAI,0919i,KINGHOME MINI SPLIT IDU 115V 60Hz 9k BTU,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW09HQ19SAO,0919o,KINGHOME MINI SPLIT ODU 115V 60Hz 9k BTU,0,548.9,212891960,11.30 ,19.50 ,8.60 ,11.30 ,19.50 ,8.60 ,6.80 ,3000.00 ,9100.00 ,11000.00 ,0.18 ,0.81 ,1.10 ,4.88 ,3.29 ,2.93 ,3100.00 ,-999999.00 ,10000.00 ,0.13 ,-999999.00 ,0.65 ,6.99 ,-999999.00 ,4.51 ,2200.00 ,10000.00 ,12000.00 ,0.18 ,0.81 ,1.20 ,3.58 ,3.62 ,2.93 ,2000.00 ,8000.00 ,9400.00 ,0.31 ,0.87 ,1.30 ,1.89 ,2.69 ,2.12 ,1300.00 ,7400.00 ,7400.00 ,0.33 ,1.20 ,1.20 ,1.15 ,1.81 ,1.81 ,1100.00 ,-999999.00 ,5500.00 ,0.36 ,-999999.00 ,1.14 ,0.90 ,-999999.00 ,1.41 ,-13.00 
